Ref_area;REF_AREA;date;obsValue
France;FRA;1997-05-01;105,1444135800343
United States;USA;1997-06-01;134,0708507287686
Germany;DEU;1997-06-01;96,6277563794683
Europe;EU27;1997-06-01;104,3417241432006
Italy;ITA;1997-06-01;109,6834355914331
France;FRA;1997-06-01;105,9350545743237
United States;USA;1997-07-01;135,1044707290629
Germany;DEU;1997-07-01;97,9247731565959
Europe;EU27;1997-07-01;105,3221297584393
Italy;ITA;1997-07-01;110,4283085042362
France;FRA;1997-07-01;106,1037265187471
United States;USA;1997-08-01;136,7525195785521
Germany;DEU;1997-08-01;94,8119328914896
Europe;EU27;1997-08-01;105,1820699633319
Italy;ITA;1997-08-01;111,3593338514956
France;FRA;1997-08-01;110,5313031707872
United States;USA;1997-09-01;138,0016549170824
Germany;DEU;1997-09-01;95,5901429577662
Europe;EU27;1997-09-01;105,0420101682246
Italy;ITA;1997-09-01;111,0800174748186
France;FRA;1997-09-01;107,9907297701300
United States;USA;1997-10-01;139,2594409585437
Germany;DEU;1997-10-01;96,8871597348938
Europe;EU27;1997-10-01;106,5826290628672
Italy;ITA;1997-10-01;112,3836108659685
France;FRA;1997-10-01;110,8054448608174
United States;USA;1997-11-01;140,6325806077078
Germany;DEU;1997-11-01;97,2762582845690
Europe;EU27;1997-11-01;106,3025094726525
Italy;ITA;1997-11-01;111,4524977937164
France;FRA;1997-11-01;108,4018884885892
United States;USA;1997-12-01;141,3424942478549
Germany;DEU;1997-12-01;98,5732750616966
Europe;EU27;1997-12-01;107,4229619324858
Italy;ITA;1997-12-01;111,9180543298425
France;FRA;1997-12-01;110,6577721483237
United States;USA;1998-01-01;142,4390894031342
Germany;DEU;1998-01-01;99,6109014503247
Europe;EU27;1998-01-01;107,9831881624025
Italy;ITA;1998-01-01;111,3593338514956
France;FRA;1998-01-01;110,7948968099250
United States;USA;1998-02-01;142,6730508527238
Germany;DEU;1998-02-01;99,2217899337234
Europe;EU27;1998-02-01;108,4033545972118
Italy;ITA;1998-02-01;111,5455740109446
France;FRA;1998-02-01;111,3746090763180
United States;USA;1998-03-01;142,4485413999094
Germany;DEU;1998-03-01;100,6485148720268
Europe;EU27;1998-03-01;108,4033545972118
Italy;ITA;1998-03-01;111,0800174748186
France;FRA;1998-03-01;109,6879972652564
United States;USA;1998-04-01;143,0909010631043
Germany;DEU;1998-04-01;99,8703048057503
Europe;EU27;1998-04-01;108,6834612369138
Italy;ITA;1998-04-01;112,1973707065195
France;FRA;1998-04-01;111,0267386632132
United States;USA;1998-05-01;143,8769866772634
Germany;DEU;1998-05-01;100,5188067108510
Europe;EU27;1998-05-01;109,3837472619378
Italy;ITA;1998-05-01;112,0111305470706
France;FRA;1998-05-01;112,7345542092320
United States;USA;1998-06-01;142,8223368017910
Germany;DEU;1998-06-01;99,4811932891490
Europe;EU27;1998-06-01;108,6834612369138
Italy;ITA;1998-06-01;111,7318141703935
France;FRA;1998-06-01;111,9544289758833
United States;USA;1998-07-01;142,2142528916079
Germany;DEU;1998-07-01;101,5564201325531
Europe;EU27;1998-07-01;109,6638539016398
Italy;ITA;1998-07-01;111,3593338514956
France;FRA;1998-07-01;113,1140687750140
United States;USA;1998-08-01;145,6774448865188
Germany;DEU;1998-08-01;99,6109014503247
Europe;EU27;1998-08-01;108,2632948021045
Italy;ITA;1998-08-01;109,3109552725352
France;FRA;1998-08-01;110,2888056334341
United States;USA;1998-09-01;145,4956820073556
Germany;DEU;1998-09-01;98,7029832228724
Europe;EU27;1998-09-01;108,5434143923192
Italy;ITA;1998-09-01;111,1731814170394
France;FRA;1998-09-01;112,1758304114515
United States;USA;1998-10-01;146,7596821643437
Germany;DEU;1998-10-01;99,3514980948992
Europe;EU27;1998-10-01;108,6834612369138
Italy;ITA;1998-10-01;110,8007010981415
France;FRA;1998-10-01;111,7224794894227
United States;USA;1998-11-01;146,9535135099778
Germany;DEU;1998-11-01;97,9247731565959
Europe;EU27;1998-11-01;108,1232479575099
Italy;ITA;1998-11-01;110,6144609386925
France;FRA;1998-11-01;112,1336382078818
United States;USA;1998-12-01;147,7921411062107
Germany;DEU;1998-12-01;98,4435798674469
Europe;EU27;1998-12-01;106,3025094726525
Italy;ITA;1998-12-01;103,4450481873385
France;FRA;1998-12-01;111,3536206077055
United States;USA;1999-01-01;148,1832215610185
Germany;DEU;1999-01-01;100,1297081611758
Europe;EU27;1999-01-01;109,2436874668305
Italy;ITA;1999-01-01;109,7765118086613
France;FRA;1999-01-01;112,5869891299107
United States;USA;1999-02-01;149,4661257115571
Germany;DEU;1999-02-01;98,1841765120214
Europe;EU27;1999-02-01;107,4229619324858
Italy;ITA;1999-02-01;108,6591585769603
France;FRA;1999-02-01;111,0794789176752
United States;USA;1999-03-01;149,4700504161004
Germany;DEU;1999-03-01;98,8326913840482
Europe;EU27;1999-03-01;108,1232479575099
Italy;ITA;1999-03-01;108,7523225191811
France;FRA;1999-03-01;111,4695415343496
United States;USA;1999-04-01;149,9861163576779
Germany;DEU;1999-04-01;99,3514980948992
Europe;EU27;1999-04-01;108,4033545972118
Italy;ITA;1999-04-01;108,3798422002832
France;FRA;1999-04-01;112,7029100565548
United States;USA;1999-05-01;151,1771824219025
Germany;DEU;1999-05-01;100,2594033554255
Europe;EU27;1999-05-01;108,9635808271285
Italy;ITA;1999-05-01;107,6349692874801
France;FRA;1999-05-01;113,2932780070125
United States;USA;1999-06-01;150,8214897197270
Germany;DEU;1999-06-01;100,2594033554255
Europe;EU27;1999-06-01;109,6638539016398
Italy;ITA;1999-06-01;109,3109552725352
France;FRA;1999-06-01;114,5582906818949
United States;USA;1999-07-01;151,4589435022428
Germany;DEU;1999-07-01;100,9079182274523
Europe;EU27;1999-07-01;110,5041997217712
Italy;ITA;1999-07-01;110,0558281853383
France;FRA;1999-07-01;114,8113362701403
United States;USA;1999-08-01;152,4051080029631
Germany;DEU;1999-08-01;101,8158234879786
Europe;EU27;1999-08-01;110,3641399266638
Italy;ITA;1999-08-01;110,2420683447873
France;FRA;1999-08-01;112,2917513380956
United States;USA;1999-09-01;151,7761250410867
Germany;DEU;1999-09-01;101,6861153268028
Europe;EU27;1999-09-01;111,6246392310918
Italy;ITA;1999-09-01;111,3593338514956
France;FRA;1999-09-01;115,6968343792408
United States;USA;1999-10-01;154,0035583987859
Germany;DEU;1999-10-01;102,5940335542552
Europe;EU27;1999-10-01;112,6050318958178
Italy;ITA;1999-10-01;112,1973707065195
France;FRA;1999-10-01;117,4467344956568
United States;USA;1999-11-01;155,0644223897853
Germany;DEU;1999-11-01;102,7237287485049
Europe;EU27;1999-11-01;112,8851514860325
Italy;ITA;1999-11-01;112,7560034598737
France;FRA;1999-11-01;117,3097174672279
United States;USA;1999-12-01;156,1727589528234
Germany;DEU;1999-12-01;102,9831321039304
Europe;EU27;1999-12-01;112,3249252561158
Italy;ITA;1999-12-01;110,5213847214644
France;FRA;1999-12-01;116,2872023296985
United States;USA;2000-01-01;156,1894062412614
Germany;DEU;2000-01-01;102,0752268434041
Europe;EU27;2000-01-01;111,6246392310918
Italy;ITA;2000-01-01;110,9869412575904
France;FRA;2000-01-01;117,1516043370141
United States;USA;2000-02-01;156,5511168237366
Germany;DEU;2000-02-01;104,4098570422338
Europe;EU27;2000-02-01;113,4453777159491
Italy;ITA;2000-02-01;112,1042944892914
France;FRA;2000-02-01;117,6364917785478
United States;USA;2000-03-01;157,5698720055731
Germany;DEU;2000-03-01;104,7989685588351
Europe;EU27;2000-03-01;114,1456507904605
Italy;ITA;2000-03-01;113,2215599959997
France;FRA;2000-03-01;118,2795999834676
United States;USA;2000-04-01;158,5813010722620
Germany;DEU;2000-04-01;105,9662771747869
Europe;EU27;2000-04-01;115,2661032502938
Italy;ITA;2000-04-01;114,2457492854799
France;FRA;2000-04-01;118,9647927587846
United States;USA;2000-05-01;158,5639996664001
Germany;DEU;2000-05-01;108,5603107290421
Europe;EU27;2000-05-01;117,0868287846384
Italy;ITA;2000-05-01;115,1768623577320
France;FRA;2000-05-01;120,8307214350171
United States;USA;2000-06-01;158,8518113329114
Germany;DEU;2000-06-01;106,0959853359627
Europe;EU27;2000-06-01;115,9663763248051
Italy;ITA;2000-06-01;114,9906221982831
France;FRA;2000-06-01;119,0596175836439
United States;USA;2000-07-01;158,9911546971355
Germany;DEU;2000-07-01;107,9117958570153
Europe;EU27;2000-07-01;116,5266025547217
Italy;ITA;2000-07-01;114,0595968510237
France;FRA;2000-07-01;120,3984666147731
United States;USA;2000-08-01;157,9441579955226
Germany;DEU;2000-08-01;108,8197140844676
Europe;EU27;2000-08-01;117,2268756292330
Italy;ITA;2000-08-01;114,5251533871497
France;FRA;2000-08-01;118,9858888605694
United States;USA;2000-09-01;158,6716837473079
Germany;DEU;2000-09-01;109,0791174398931
Europe;EU27;2000-09-01;117,6470420640424
Italy;ITA;2000-09-01;114,8044697638268
France;FRA;2000-09-01;119,6816296867789
United States;USA;2000-10-01;158,0818660661869
Germany;DEU;2000-10-01;108,5603107290421
Europe;EU27;2000-10-01;118,0672214493644
Italy;ITA;2000-10-01;115,5493426766299
France;FRA;2000-10-01;121,1047554918750
United States;USA;2000-11-01;157,6557085645230
Germany;DEU;2000-11-01;109,4682159895683
Europe;EU27;2000-11-01;119,1876609586850
Italy;ITA;2000-11-01;117,0390885022361
France;FRA;2000-11-01;120,9993826161233
United States;USA;2000-12-01;156,6966579505520
Germany;DEU;2000-12-01;110,2464390227710
Europe;EU27;2000-12-01;120,4481732136257
Italy;ITA;2000-12-01;118,6219105450705
France;FRA;2000-12-01;122,6228137550028
United States;USA;2001-01-01;156,0562606396287
Germany;DEU;2001-01-01;109,8573275061697
Europe;EU27;2001-01-01;118,9075543189830
Italy;ITA;2001-01-01;115,4561787344091
France;FRA;2001-01-01;121,6529312387631
United States;USA;2001-02-01;155,0089532322395
Germany;DEU;2001-02-01;111,0246490890475
Europe;EU27;2001-02-01;119,3277207537924
Italy;ITA;2001-02-01;114,6182296043778
France;FRA;2001-02-01;122,4541525738966
United States;USA;2001-03-01;154,6253624219352
Germany;DEU;2001-03-01;109,5979241507441
Europe;EU27;2001-03-01;118,6274476792810
Italy;ITA;2001-03-01;114,3389132277007
France;FRA;2001-03-01;123,0971531456440
United States;USA;2001-04-01;154,0091183968890
Germany;DEU;2001-04-01;107,5226973073400
Europe;EU27;2001-04-01;116,6666623498291
Italy;ITA;2001-04-01;113,3146362132279
France;FRA;2001-04-01;120,3457263603111
United States;USA;2001-05-01;153,1709650357884
Germany;DEU;2001-05-01;108,6900059232918
Europe;EU27;2001-05-01;117,2268756292330
Italy;ITA;2001-05-01;112,8491674020945
France;FRA;2001-05-01;121,3788971819052
United States;USA;2001-06-01;152,2688716965026
Germany;DEU;2001-06-01;109,2088126341429
Europe;EU27;2001-06-01;117,7871018591497
Italy;ITA;2001-06-01;113,2215599959997
France;FRA;2001-06-01;121,6212870860859
United States;USA;2001-07-01;151,5155573652804
Germany;DEU;2001-07-01;106,0959853359627
Europe;EU27;2001-07-01;115,2661032502938
Italy;ITA;2001-07-01;110,9869412575904
France;FRA;2001-07-01;119,5762568110272
United States;USA;2001-08-01;150,8624374704625
Germany;DEU;2001-08-01;108,5603107290421
Europe;EU27;2001-08-01;118,2072812444717
Italy;ITA;2001-08-01;113,2215599959997
France;FRA;2001-08-01;122,7914749361090
United States;USA;2001-09-01;150,2847046087479
Germany;DEU;2001-09-01;107,5226973073400
Europe;EU27;2001-09-01;116,2464959150198
Italy;ITA;2001-09-01;111,1731814170394
France;FRA;2001-09-01;120,3247378916986
United States;USA;2001-10-01;149,6366377710295
Germany;DEU;2001-10-01;105,3177752696861
Europe;EU27;2001-10-01;115,2661032502938
Italy;ITA;2001-10-01;110,2420683447873
France;FRA;2001-10-01;120,5249355923097
United States;USA;2001-11-01;149,0794605493605
Germany;DEU;2001-11-01;104,2801488810580
